ID	SizeFraction	Kingdom	Superphylum	Phylum	Class	Order	Family	Genus	Species	Phylum_Cyano	nodesize
bn_ASV_000347	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_bacterium	Alphaproteobacteria	1
bn_ASV_000348	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_X	uncultured_bacterium	Alphaproteobacteria	1
bn_ASV_000361	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae_X	uncultured_marine_bacterium	Bacteroidetes	1
bn_ASV_000367	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	marine_metagenome	Bacteroidetes	1
bn_ASV_000375	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_X	uncultured_bacterium	Alphaproteobacteria	1
bn_ASV_000378	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	uncultured_bacterium	Verrucomicrobia	1
bn_ASV_000379	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales_DEV007	Verrucomicrobiales_DEV007	uncultured_bacterium	Verrucomicrobia	1
bn_ASV_000380	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_UBA10353	Gammaproteobacteria_UBA10353	Gammaproteobacteria_UBA10353	unidentified_marine_bacterioplankton	Gammaproteobacteria	1
bn_ASV_000393	nano	Bacteria	Proteobacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_SAR324	Deltaproteobacteria_SAR324	Deltaproteobacteria_SAR324	uncultured_marine_bacterium	Deltaproteobacteria	1
bn_ASV_000402	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_marine_bacterium	Gammaproteobacteria	1
bn_ASV_000409	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_X	Puniceispirillales_X	uncultured_bacterium	Alphaproteobacteria	1
bn_ASV_000414	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_bacterium	Alphaproteobacteria	1
bn_ASV_000415	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	uncultured_marine_bacterium	Actinobacteria	1
bn_ASV_000425	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	uncultured_Verrucomicrobia_bacterium	Verrucomicrobia	1
bn_ASV_000431	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_UBA10353	Gammaproteobacteria_UBA10353	Gammaproteobacteria_UBA10353	uncultured_bacterium	Gammaproteobacteria	1
bn_ASV_000440	nano	Bacteria	Chloroflexi	Chloroflexi	Dehalococcoidia	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	marine_metagenome	Chloroflexi	1
bn_ASV_000446	nano	Bacteria	Chloroflexi	Chloroflexi	Dehalococcoidia	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	uncultured_bacterium	Chloroflexi	1
bn_ASV_000475	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_X	uncultured_marine_bacterium	Bacteroidetes	1
bn_ASV_000511	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	IS-44	uncultured_bacterium	Gammaproteobacteria	1
bn_ASV_000528	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_bacterium	Alphaproteobacteria	1
bn_ASV_000540	nano	Bacteria	Planctomycetes	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula	uncultured_planctomycete_8FN	Planctomycetes	1
bn_ASV_000564	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	uncultured_bacterium	Actinobacteria	1
bn_ASV_000615	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_OM182	Gammaproteobacteria_OM182	Gammaproteobacteria_OM182	uncultured_marine_bacterium	Gammaproteobacteria	1
