Sample	num_nodes	num_edges	edge_density	num_pos_edges	portion_pos_edges	num_neg_edges	portion_neg_edges	average_pos_association_strength	average_neg_association_strength	transitivity_global_clusering_coef	transitivity_ave_clustering_coef_mean_local	ave_path_length	diameter	mean_degree	degreecentralization	assortativity_nominal_EukProk	assortativity_nominal_Sizefraction	assortativity_degree	ave_node_betweenness	ave_edge_betweenness	betweennesscentralization	ave_closeness	closenesscentralization	closenesscentralization_disconnected_graphs	closenesscentralization_disconnected_graphs_normalized	count_nano	count_pico	count_euk	count_bac	count_en	count_ep	count_bn	count_bp	fraction_nano	fraction_pico	fraction_euk	fraction_bac	fraction_en	fraction_ep	fraction_bn	fraction_bp
BL0708	302	1977	0.0434973927966381	1918	0.970156803237228	59	0.0298431967627719	0.576765202294056	-0.543831220338983	0.409186468751991	0.464207441031788	3.24059359663473	9	13.0927152317881	0.165804932784757	0.309928282023367	0.521165950855453	0.248382822706417	317.466887417219	70.1390996459282	0.0591730411990567	0.000265676289125545	0.017890193380214	102.099237884999	0.339200125863786	166	136	158	144	85	73	81	63	54.9668874172185	45.0331125827815	52.317880794702	47.682119205298	28.1456953642384	24.1721854304636	26.8211920529801	20.8609271523179
BL0709	234	1677	0.061516452074392	1621	0.966607036374478	56	0.0333929636255218	0.586192915484269	-0.541529982142857	0.453974063171294	0.51343257202543	2.95133579942458	7	14.3333333333333	0.135908440629471	0.231783513791774	0.525297219987485	0.18003451787654	202.888888888889	42.8181276088253	0.0839393664550681	0.0002570894493619	0.0128154999613831	82.5423687423687	0.354259093314887	145	89	60	174	39	21	106	68	61.965811965812	38.034188034188	25.6410256410256	74.3589743589744	16.6666666666667	8.97435897435897	45.2991452991453	29.0598290598291
BL0710	407	3477	0.0420837317389042	3375	0.970664365832614	102	0.0293356341673857	0.580431563259259	-0.551705098039216	0.461139398597368	0.493811072774727	3.28493647912886	8	17.0859950859951	0.147571440674889	0.23323399290485	0.45422081152672	0.223748135575764	423.791154791155	71.3172274949669	0.0788484338222238	0.000111469705354483	0.00788028149417043	132.137861237861	0.325462712408525	220	187	206	201	103	103	117	84	54.0540540540541	45.945945945946	50.6142506142506	49.3857493857494	25.3071253071253	25.3071253071253	28.7469287469287	20.6388206388206
BL0711	528	11867	0.0852955551722155	11726	0.988118311283391	141	0.0118816887166091	0.607722720706123	-0.556549695035461	0.627700962620328	0.573662094593444	2.9555968323855	8	44.9507575757576	0.258157955264217	0.115474168729093	0.27775113848204	0.334478935937306	484.543560606061	32.5830454200725	0.051898526074918	9.75775522515942e-05	0.00827617841796838	202.914596861472	0.385037185695393	299	229	249	279	125	124	174	105	56.6287878787879	43.3712121212121	47.1590909090909	52.8409090909091	23.6742424242424	23.4848484848485	32.9545454545455	19.8863636363636
BL0712	408	11136	0.134123428241075	11020	0.989583333333333	116	0.0104166666666667	0.618191555353902	-0.558881327586207	0.637675711168222	0.604052418721487	2.71582645440252	8	54.5882352941176	0.313051018933372	0.0889054723774723	0.246426230665977	0.217911756954661	342.357843137255	19.8536278735632	0.0460097291980981	0.000366884268315622	0.0429571540769765	183.285194911298	0.450332174229233	251	157	146	262	98	48	153	109	61.5196078431373	38.4803921568627	35.7843137254902	64.2156862745098	24.0196078431373	11.7647058823529	37.5	26.7156862745098
BL0801	415	13485	0.156975729002968	13402	0.993845012977382	83	0.00615498702261772	0.612786543575586	-0.562574855421687	0.625430339148858	0.631333929550663	2.39434089103465	9	64.9879518072289	0.347855188871428	0.0976786411170098	0.255468103781063	0.114221462582023	274.886746987952	14.5267334074898	0.0305245203943728	0.000191246722024159	0.0132306701166311	198.886532797858	0.480402253134923	245	170	169	246	80	89	165	81	59.0361445783133	40.9638554216867	40.7228915662651	59.2771084337349	19.2771084337349	21.4457831325301	39.7590361445783	19.5180722891566
BL0802	382	11655	0.160159953827761	11550	0.990990990990991	105	0.00900900900900901	0.609641022510823	-0.560856104761905	0.637665964124603	0.630976567291369	2.43237043939503	8	61.020942408377	0.333278366382213	0.0986244906654165	0.252370328580657	0.142833873481948	261.557591623037	14.5577005577006	0.0441512003919975	0.000247957050565349	0.0171815521343465	182.906862378459	0.480070504930339	212	170	150	232	65	85	147	85	55.4973821989529	44.5026178010471	39.2670157068063	60.7329842931937	17.0157068062827	22.2513089005236	38.4816753926702	22.2513089005236
BL0803	385	10058	0.136066017316017	9970	0.991250745675085	88	0.00874925432491549	0.608393853259779	-0.558580159090909	0.641784218793381	0.628879720923107	2.6876472667295	10	52.2493506493506	0.319663149350649	0.0955715579420325	0.25930777127813	0.152152159822382	297.657142857143	18.1449592364287	0.0760733813074093	0.000134574982909424	0.00916014916301801	166.268554937126	0.4329910284821	196	189	152	233	65	87	131	102	50.9090909090909	49.0909090909091	39.4805194805195	60.5194805194805	16.8831168831169	22.5974025974026	34.025974025974	26.4935064935065
BL0804	278	4962	0.128873074825338	4910	0.989520354695687	52	0.0104796453043128	0.605898810997963	-0.551497480769231	0.621839423772818	0.582971910972827	2.75583671385209	9	35.6978417266187	0.304339921564553	0.132718031954427	0.306922741161065	0.206026183673736	222.643884892086	19.5779927448609	0.0677152228048763	0.000236473574376716	0.0140196186239606	116.480712572799	0.420507987627433	155	123	106	172	48	58	107	65	55.7553956834532	44.2446043165468	38.1294964028777	61.8705035971223	17.2661870503597	20.863309352518	38.4892086330935	23.3812949640288
BL0805	204	1213	0.0585820535110596	1161	0.957131079967024	52	0.0428689200329761	0.59238879672696	-0.571116038461538	0.497685824813484	0.467634746572657	3.37526578932245	11	11.8921568627451	0.217280015454458	0.173644407451546	0.414631792298041	0.370078489743797	202.607843137255	48.4196207749382	0.128600320600925	0.00022611909318497	0.0128214117626368	62.8180053334465	0.309448302135204	132	72	70	134	47	23	85	49	64.7058823529412	35.2941176470588	34.3137254901961	65.6862745098039	23.0392156862745	11.2745098039216	41.6666666666667	24.0196078431373
BL0806	263	1592	0.0462078773981946	1497	0.940326633165829	95	0.0596733668341709	0.58726811756847	-0.562047568421053	0.4552829608079	0.486979726265334	3.39700362307014	11	12.106463878327	0.140815023365164	0.257926796970178	0.479617630821978	0.203267296267229	279.228136882129	65.3731155778895	0.0972967761476416	0.000198240512101386	0.0119143491555108	82.6724918934044	0.315543862188567	109	154	78	185	31	47	78	107	41.4448669201521	58.5551330798479	29.6577946768061	70.3422053231939	11.787072243346	17.8707224334601	29.6577946768061	40.6844106463878
BL0807	242	1376	0.0471863104831796	1316	0.956395348837209	60	0.0436046511627907	0.581281436930091	-0.545960033333333	0.420156941260051	0.474360559885329	3.24966073720888	8	11.3719008264463	0.197626967525119	0.311950540974001	0.526629515528279	0.289040137593101	253.45867768595	64.390988372093	0.0813546454441504	0.000360691927098392	0.0239168148119396	81.6729535615899	0.338891923492074	114	128	106	136	52	54	62	74	47.1074380165289	52.8925619834711	43.801652892562	56.198347107438	21.4876033057851	22.3140495867769	25.6198347107438	30.5785123966942
BL0808	225	1507	0.0598015873015873	1468	0.974120769741208	39	0.0258792302587923	0.583983623297003	-0.547730641025641	0.436071910826339	0.472938027029609	3.00154998708344	8	13.3955555555556	0.208055555555556	0.265601262926696	0.479117769232991	0.270894803856276	206.613333333333	46.2601194426012	0.0507172233920075	0.000361080486006586	0.0200403661557592	80.8946349206349	0.361136763038549	114	111	93	132	50	43	64	68	50.6666666666667	49.3333333333333	41.3333333333333	58.6666666666667	22.2222222222222	19.1111111111111	28.4444444444444	30.2222222222222
BL0809	288	1838	0.0444734804490902	1774	0.965179542981502	64	0.0348204570184984	0.576530262119504	-0.553958765625	0.395516413130504	0.44069192271728	3.15682553259736	9	12.7638888888889	0.161101432442896	0.333852838432305	0.490431002238243	0.207110612880589	280.170138888889	64.2546245919478	0.0583099278985743	0.000195179428506982	0.0116547102893946	95.6976162918871	0.333441171748736	162	126	144	144	77	67	85	59	56.25	43.75	50	50	26.7361111111111	23.2638888888889	29.5138888888889	20.4861111111111
BL0810	412	3863	0.0456263435145159	3751	0.971006989386487	112	0.0289930106135128	0.579459889096241	-0.551694758928571	0.464972115448708	0.503606867259763	3.16917890987725	8	18.752427184466	0.141721588358963	0.245115626477819	0.466015831704446	0.19914260438434	413.907766990291	64.4952109759254	0.0767844365351884	0.000129912460433731	0.00898673399378826	140.137615580213	0.340967434501734	217	195	203	209	95	108	122	87	52.6699029126214	47.3300970873786	49.2718446601942	50.7281553398058	23.0582524271845	26.2135922330097	29.6116504854369	21.1165048543689
