Source	Target	LS	Xs	Len	MutualInformation	percentage_co_occurrence	intersection	union	J
bn_ASV_000039	en_ASV_00954	0.639406	1	118	0.382772	57.352941	39	68	0.573529411764706
bn_ASV_000039	en_ASV_00983	0.648479	1	120	0.456241	68.493151	50	73	0.684931506849315
bn_ASV_000039	en_ASV_01063	0.64204	1	118	0.424429	68.493151	50	73	0.684931506849315
bn_ASV_000039	en_ASV_01073	0.516359	6	113	0.355703	55.555556	40	72	0.555555555555556
bn_ASV_000039	en_ASV_01121	0.529015	1	118	0.331728	50.684932	37	73	0.506849315068493
bn_ASV_000039	en_ASV_01138	0.530826	4	117	0.287578	52.857143	37	70	0.528571428571429
bn_ASV_000039	en_ASV_01180	0.633777	1	120	0.435325	61.971831	44	71	0.619718309859155
bn_ASV_000039	ep_ASV_00029	0.656923	2	119	0.345242	66.233766	51	77	0.662337662337662
bn_ASV_000039	ep_ASV_00032	0.624167	1	111	0.414957	63.75	51	80	0.6375
bn_ASV_000039	ep_ASV_00037	0.618091	1	120	0.462049	53.608247	52	97	0.536082474226804
bn_ASV_000039	ep_ASV_00040	0.617576	1	118	0.364605	52.702703	39	74	0.527027027027027
bn_ASV_000039	ep_ASV_00070	0.708606	1	120	0.543923	65.217391	45	69	0.652173913043478
bn_ASV_000039	ep_ASV_00084	0.553675	1	120	0.445457	61.971831	44	71	0.619718309859155
bn_ASV_000039	ep_ASV_00127	0.570524	1	120	0.381571	57.5	46	80	0.575
bn_ASV_000039	ep_ASV_00213	0.49755	1	120	0.343118	56.626506	47	83	0.566265060240964
bn_ASV_000039	ep_ASV_00246	0.616066	3	118	0.408448	58.571429	41	70	0.585714285714286
bn_ASV_000039	ep_ASV_00264	0.506748	1	118	0.313641	51.351351	38	74	0.513513513513513
bn_ASV_000039	ep_ASV_00301	0.638712	1	120	0.352327	50.684932	37	73	0.506849315068493
bn_ASV_000039	ep_ASV_00305	0.56445	2	117	0.295817	50.684932	37	73	0.506849315068493
bn_ASV_000039	ep_ASV_00317	0.49404	1	120	0.341273	53.846154	42	78	0.538461538461538
bn_ASV_000039	ep_ASV_00350	0.651459	2	119	0.391661	58.333333	42	72	0.583333333333333
bn_ASV_000039	ep_ASV_00364	0.580236	1	120	0.426502	53.521127	38	71	0.535211267605634
bn_ASV_000043	bn_ASV_000001	0.62974	1	119	0.632309	59.130435	68	115	0.591304347826087
bn_ASV_000043	bn_ASV_000012	0.594178	1	119	0.584526	62.962963	68	108	0.62962962962963
bn_ASV_000043	bn_ASV_000015	0.536511	1	112	0.474439	61.818182	68	110	0.618181818181818
bn_ASV_000043	bn_ASV_000025	0.62925	2	119	0.542823	71.111111	64	90	0.711111111111111
bn_ASV_000043	bn_ASV_000028	0.640034	1	113	0.534144	81.578947	62	76	0.815789473684211
bn_ASV_000043	bn_ASV_000054	0.593931	1	120	0.68786	78.378378	58	74	0.783783783783784
bn_ASV_000043	bn_ASV_000062	0.48666	1	113	0.480124	68.493151	50	73	0.684931506849315
bn_ASV_000043	bn_ASV_000064	0.645372	1	120	0.62685	69.444444	50	72	0.694444444444444
bn_ASV_000043	bn_ASV_000069	0.613439	1	118	0.519602	62.5	45	72	0.625
